改动,Java版1.12.2,Java版1.13
重命名,angryVillager,angry_villager
合并,blockdust,block
合并,blockcrack
重命名,damageIndicator,damage_indicator
移除,depthsuspend,—
重命名,dragonbreath,dragon_breath
重命名,dripLava,dripping_lava
重命名,dripWater,dripping_water
重命名,droplet,rain
重命名,enchantmenttable,enchant
重命名,endRod,end_rod
合并,explode,poof
合并,snowshovel
重命名,fallingdust,falling_dust
重命名,fireworksSpark,firework
移除,footstep,—
重命名,happyVillager,happy_villager
重命名,hugeexplosion,explosion_emitter
重命名,iconcrack,item
重命名,instantSpell,instant_effect
重命名,largeexplosion,explosion
重命名,largesmoke,large_smoke
重命名,magicCrit,enchanted_hit
重命名,mobappearance,elder_guardian
重命名,mobSpell,entity_effect
重命名,mobSpellAmbient,ambient_entity_effect
重命名,reddust,dust
重命名,slime,item_slime
重命名,snowballpoof,item_snowball
重命名,spell,effect
重命名,suspended,underwater
重命名,sweepAttack,sweep_attack
移除,take,—
重命名,totem,totem_of_undying
重命名,townaura,mycelium
重命名,wake,fishing
重命名,witchMagic,witch
